,dayofmonth,day,hour,temp,pressure,humidity,wind,visibility,dew_point,energy
0,11,1,17,6.31,733.75,92.0,6.17,53.42,5.05,330
1,11,1,18,5.92,734.2,91.75,5.25,40.0,4.68,250
2,11,1,19,6.0,734.91,89.25,6.0,40.0,4.31,360
3,11,1,20,6.0,735.28,87.58,6.0,40.0,4.02,750
4,11,1,21,5.83,735.57,87.42,6.0,40.0,3.82,620
5,11,1,22,5.72,736.01,87.58,6.42,40.0,3.74,170
6,11,1,23,5.65,736.55,89.08,6.58,32.5,3.92,340
7,12,2,0,5.25,737.05,92.0,6.0,26.5,4.05,160
8,12,2,1,5.16,737.97,92.0,5.42,40.0,3.96,260
9,12,2,2,5.03,738.55,92.0,4.58,40.0,3.83,270
10,12,2,3,4.84,739.19,92.42,4.83,40.0,3.68,210
11,12,2,4,4.94,739.72,92.17,5.58,40.0,3.72,270
12,12,2,5,4.96,740.07,92.67,4.58,40.0,3.81,260
13,12,2,6,4.98,740.63,94.17,4.42,35.42,4.1,240
14,12,2,7,5.1,741.39,92.17,5.0,33.58,3.97,340
15,12,2,8,4.98,742.01,91.0,5.0,40.0,3.63,520
16,12,2,9,5.01,742.51,91.0,5.0,35.42,3.61,260
17,12,2,10,6.03,743.13,87.67,5.0,36.33,4.1,170
18,12,2,11,6.65,743.38,83.92,5.83,35.0,4.12,330
19,12,2,12,7.19,743.5,80.25,7.0,32.5,4.04,510
20,12,2,13,7.29,743.5,79.83,7.42,40.0,4.02,380
21,12,2,14,6.97,743.6,79.33,7.0,40.0,3.57,250
22,12,2,15,6.65,743.84,78.5,4.58,40.0,3.15,220
23,12,2,16,6.38,744.02,79.08,5.25,35.42,3.0,240
24,12,2,17,6.41,744.24,75.83,7.0,29.92,2.37,120
25,12,2,18,5.15,744.82,87.5,6.58,40.0,3.22,350
26,12,2,19,4.68,745.08,91.83,6.42,40.0,3.4,330
27,12,2,20,4.58,745.49,92.17,6.58,40.0,3.4,310
28,12,2,21,4.95,746.02,89.75,6.42,35.42,3.44,250
29,12,2,22,5.38,746.37,86.33,6.58,33.58,3.25,280
30,12,2,23,5.71,746.93,82.33,6.83,40.0,2.82,260
31,13,3,0,5.71,747.73,83.33,8.0,34.58,3.03,190
32,13,3,1,5.3,748.49,89.25,8.0,24.5,3.67,290
33,13,3,2,5.38,749.36,90.17,8.0,22.25,3.86,270
34,13,3,3,5.46,750.5,89.0,8.0,24.0,3.76,190
35,13,3,4,5.32,751.49,89.42,8.0,23.17,3.66,270
36,13,3,5,5.12,752.28,90.0,7.58,22.42,3.52,250
37,13,3,6,5.03,753.17,89.67,6.67,28.67,3.4,200
38,13,3,7,5.06,754.07,89.42,5.58,31.67,3.4,380
39,13,3,8,5.0,754.45,89.67,4.83,21.5,3.37,250
40,13,3,9,5.0,755.67,88.0,4.67,36.33,3.13,240
41,13,3,10,5.21,756.23,85.08,5.0,35.42,2.81,400
42,13,3,11,5.71,756.91,78.92,5.42,33.58,2.28,360
43,13,3,12,5.79,757.41,76.83,5.58,35.42,2.02,250
44,13,3,13,6.08,757.66,75.08,5.0,28.17,1.9,210
45,13,3,14,6.65,757.47,70.17,5.42,32.42,1.52,270
